y,X,coefficient,Estimate,Std. Error,2.5 %,97.5 %,t value,p value,q value,s value,sig_PCER,sig_FDR,sig_FWER,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
Hippocampal_head_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.14573887916627,0.337424275624468,0.474112658812796,1.81736509951974,3.39554371731512,0.00107421449107783,0.013163160939403,9.86250219607023,*,*,*,0.874838408954312,,0,0.977814929284741,
Hippocampal_body_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.950945786019473,0.338197176046626,0.277781145858231,1.62411042618072,2.81180877124879,0.00621100401841126,0.0169391018683943,7.33095778347864,*,*,,0.806979512041497,,0,0.278059431684607,
Hippocampal_tail_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.705981850011425,0.389603176795245,-0.0695038751469962,1.48146757516985,1.81205362804948,0.0737777077377212,0.0922221346721515,3.76067122436352,,,,0.267164305529297,,0,0.449131599517989,
parasubiculum_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.16616786240943,0.408923997192911,0.352225006228655,1.9801107185902,2.85179610493558,0.00554548306693281,0.0169391018683943,7.49447114566135,*,*,,0.782825198867615,,0,0.42217152739889,
HATA_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.983989361808448,0.391415798787001,0.204895702825468,1.76308302079143,2.51392346670174,0.0139723202173193,0.0279446404346387,6.16128457789805,*,*,,0.771800706952451,,0,0.958543563056634,
presubiculum_head_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.22141007943793,0.366644301180279,0.491622853073966,1.95119730580189,3.33132159836125,0.0013163160939403,0.013163160939403,9.56927831200107,*,*,*,0.906606709797129,,0,0.362701149933789,
subiculum_head_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.448636406441513,0.384889533076389,-0.31746704558576,1.21473985846879,1.16562381641195,0.247273829002763,0.264936245360103,2.01581853921091,,,,0.318844232586792,,0,0.681719891984623,
CA1_head_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.999511472637017,0.372428646605907,0.258210794704568,1.74081215056947,2.68376635832386,0.00886522871339599,0.0189969186715628,6.81762643307272,*,*,,0.790747719494156,,0,0.795467930156656,
CA3_head_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.885890593324349,0.41155419664474,0.0667124560917343,1.70506873055696,2.15254904590139,0.0344061715456126,0.0554072384423336,4.86118882078737,*,,,0.287817510361318,,0,0.255309165804274,
CA4DG_head_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.941308110980322,0.328648341938071,0.287149949677906,1.59546627228274,2.86418031330795,0.00535307106410444,0.0169391018683943,7.54541747954317,*,*,,0.13680900890095,,0,0.450235406735154,
presubiculum_body_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.13106815999558,0.399569915959347,0.33574413677266,1.92639218321849,2.83071401228979,0.00588771883423887,0.0169391018683943,7.40807550697209,*,*,,0.218639684220008,,0,0.0677739903484823,
subiculum_body_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.09028334885257,0.394599146225424,0.304853395291545,1.87571330241359,2.76301497172961,0.0071220684679042,0.0178051711697605,7.13348797956613,*,*,,0.990047864569651,,0,0.846973964175567,
CA1_body_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.375868456554638,0.392358825117118,-0.405102249385376,1.15683916249465,0.957971205165176,0.340999890165559,0.35275850706782,1.55215682032304,,,,0.732297346267708,,0,0.313863801810986,
CA3_body_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.363971988088658,0.42565469286037,-0.483272484800707,1.21121646097802,0.85508745514537,0.395088591959972,0.395088591959972,1.33975190526726,,,,0.71616857924916,,0,0.315503103108832,
CA4DG_body_right,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.696373734197078,0.348689764171525,0.00232411979677216,1.39042334859738,1.99711550424096,0.0492560479764268,0.0685199587949089,4.34355531089309,*,,,0.614900164468359,,0,0.409725353405697,
Hippocampal_head_left,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.972072298265197,0.319279195409734,0.336562956639785,1.60758163989061,3.044583900989,0.00316468529110139,0.015823426455507,8.30372224521126,*,*,,0.844688580589615,,0,0.178621383361209,
Hippocampal_body_left,SUBJ * AHI.F + AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.048813991092,0.33286537060364,0.386262044195654,1.71136593798835,3.15086543604704,0.00229968613833594,0.015823426455507,8.76434730939001,*,*,,0.395328070051262,,0,0.988389998986639,
